project_name,tax_id,commodity,location,region,concession_size,production_vol,year,lat,long
Noble Mining Ltd,524V018617,Gold,Bibiani,Western,49.0,,2010,6.452944,-2.3149591
Noble Mining Ltd,524V018617,Gold,Bibiani,Western,49.0,,2011,6.452944,-2.3149591
Noble Mining Ltd,524V018617,Gold,Bibiani,Western,49.0,,2012,6.452944,-2.3149591
Noble Mining Ltd,524V018617,Gold,Bibiani,Western,49.0,16750.54,2013,6.452944,-2.3149591
West African Quarries,,Limestone,Oterkpolu,Eastern,,NA,2006,6.20833,-0.11925
West African Quarries,,Limestone,Oterkpolu,Eastern,,NA,2007,6.20833,-0.11925
West African Quarries,,Limestone,Oterkpolu,Eastern,,NA,2008,6.20833,-0.11925
West African Quarries,,Limestone,Oterkpolu,Eastern,,NA,2009,6.20833,-0.11925
West African Quarries,,Limestone,Oterkpolu,Eastern,,NA,2010,6.20833,-0.11925
West African Quarries,,Limestone,Oterkpolu,Eastern,,NA,2011,6.20833,-0.11925
West African Quarries,,Limestone,Oterkpolu,Eastern,,NA,2012,6.20833,-0.11925
West African Quarries,,Limestone,Oterkpolu,Eastern,,,2013,6.20833,-0.11925
Prestea Sankofa Ltd,,Gold,Prestea,Western,3.43,NA,2006,5.4348895,-2.141486
Prestea Sankofa Ltd,,Gold,Prestea,Western,3.43,NA,2007,5.4348895,-2.141486
Prestea Sankofa Ltd,,Gold,Prestea,Western,3.43,NA,2008,5.4348895,-2.141486
Prestea Sankofa Ltd,,Gold,Prestea,Western,3.43,NA,2009,5.4348895,-2.141486
Prestea Sankofa Ltd,,Gold,Prestea,Western,3.43,NA,2010,5.4348895,-2.141486
Prestea Sankofa Ltd,,Gold,Prestea,Western,3.43,NA,2011,5.4348895,-2.141486
Prestea Sankofa Ltd,,Gold,Prestea,Western,3.43,NA,2012,5.4348895,-2.141486
Prestea Sankofa Ltd,,Gold,Prestea,Western,3.43,,2013,5.4348895,-2.141486
Ghana Bauxite Company Ltd,665G000003,Bauxite,Awaso,Western,29.39,734323.0,2006,6.2425255,-2.2845655
Ghana Bauxite Company Ltd,665G000003,Bauxite,Awaso,Western,29.39,754893.0,2007,6.2425255,-2.2845655
Ghana Bauxite Company Ltd,665G000003,Bauxite,Awaso,Western,29.39,574389.0,2008,6.2425255,-2.2845655
Ghana Bauxite Company Ltd,665G000003,Bauxite,Awaso,Western,29.39,381320.0,2009,6.2425255,-2.2845655
Ghana Bauxite Company Ltd,665G000003,Bauxite,Awaso,Western,29.39,605832.0,2010,6.2425255,-2.2845655
Ghana Bauxite Company Ltd,665G000003,Bauxite,Awaso,Western,29.39,400069.0,2011,6.2425255,-2.2845655
Ghana Bauxite Company Ltd,665G000003,Bauxite,Awaso,Western,29.39,752771.0,2012,6.2425255,-2.2845655
Ghana Bauxite Company Ltd,665G000003,Bauxite,Awaso,Western,29.39,826994.0,2013,6.2425255,-2.2845655
Ghana Manganese Co. Ltd,365G000002,Manganese,Nsuta,Western,175.94,1757379.0,2006,5.273368,-1.9821333
Ghana Manganese Co. Ltd,365G000002,Manganese,Nsuta,Western,175.94,1305809.0,2007,5.273368,-1.9821333
Ghana Manganese Co. Ltd,365G000002,Manganese,Nsuta,Western,175.94,933593.0,2008,5.273368,-1.9821333
Ghana Manganese Co. Ltd,365G000002,Manganese,Nsuta,Western,175.94,1152866.0,2009,5.273368,-1.9821333
Ghana Manganese Co. Ltd,365G000002,Manganese,Nsuta,Western,175.94,1028431.0,2010,5.273368,-1.9821333
Ghana Manganese Co. Ltd,365G000002,Manganese,Nsuta,Western,175.94,1827692.0,2011,5.273368,-1.9821333
Ghana Manganese Co. Ltd,365G000002,Manganese,Nsuta,Western,175.94,1484738.0,2012,5.273368,-1.9821333
Ghana Manganese Co. Ltd,365G000002,Manganese,Nsuta,Western,175.94,1977911.0,2013,5.273368,-1.9821333
Jubilee fields,,Oil,Jubilee Field,Offshore,,,2006,4.49275,-2.91667
Jubilee fields,,Oil,Jubilee Field,Offshore,,,2007,4.49275,-2.91667
Jubilee fields,,Oil,Jubilee Field,Offshore,,,2008,4.49275,-2.91667
Jubilee fields,,Oil,Jubilee Field,Offshore,,,2009,4.49275,-2.91667
Jubilee fields,,Oil,Jubilee Field,Offshore,,1181088.0,2010,4.49275,-2.91667
Jubilee fields,,Oil,Jubilee Field,Offshore,,24195895.0,2011,4.49275,-2.91667
Jubilee fields,,Oil,Jubilee Field,Offshore,,26351278.0,2012,4.49275,-2.91667
Jubilee fields,,Oil,Jubilee Field,Offshore,,35587558.0,2013,4.49275,-2.91667
Saltpond Offshore Fields,,Oil,Saltpond Field,Offshore,,,2006,,
Saltpond Offshore Fields,,Oil,Saltpond Field,Offshore,,,2007,,
Saltpond Offshore Fields,,Oil,Saltpond Field,Offshore,,,2008,,
Saltpond Offshore Fields,,Oil,Saltpond Field,Offshore,,,2009,,
Saltpond Offshore Fields,,Oil,Saltpond Field,Offshore,,NA,2010,,
Saltpond Offshore Fields,,Oil,Saltpond Field,Offshore,,NA,2011,,
Saltpond Offshore Fields,,Oil,Saltpond Field,Offshore,,106267.70999999999,2012,,
Saltpond Offshore Fields,,Oil,Saltpond Field,Offshore,,95124.83,2013,,
